objid,ra,dec,app_mag,z,vel,flux,rel_dist
1237679321780584826,18.90896,-5.9415287,18.33896,0.3146923,94342.37813067339,9.427314595346731,0.325691181760548
1237679322317127710,18.190659,-5.6546737,15.95883,0.07709774,23113.320980844917,84.41896047482152,0.10883786151019885
1237679324464677200,18.29639,-3.9094261,17.33261,0.257874,77308.680314292,23.81924546578582,0.20489718884747377
1237679255738253946,18.539239,-3.7550669,18.92335,0.38414,115162.27481611999,5.50341166465265,0.4262692452328794
1237679253053440253,17.405631,-5.7560433,19.04285,0.2581414,77388.8448175612,4.929830643085601,0.45038508506270536
1237679321780519104,18.811283,-5.9397429,17.59616,0.1930443,57873.2251998894,18.685640971615165,0.23133747977345392
1237679322317717743,19.569554,-5.4709864,17.54998,0.3148776,94397.9296731408,19.497548081634076,0.2264696453555646
1237679255201054927,17.724718,-4.0431907,18.24429,0.387046,116033.47169906799,10.286224530823903,0.3117970486434956
1237679254664708677,18.958613,-4.5724274,18.86926,0.3977135,119231.507744783,5.78452896410279,0.4157823025669012
1237679255738319089,18.611283,-3.7771453,18.14483,0.2584445,77479.711911581,11.273012796790665,0.2978379266836903
1237679254664904718,19.351839,-4.4588086,19.30969,0.2362573,70828.15668744339,3.855635763692677,0.5092745808397521
1237679433452814950,18.562256,-3.528417,18.95767,0.3959277,118696.1383732866,5.3321701581457175,0.43305992864519516
1237679322854129807,18.464062,-5.0955959,17.31548,0.1912005,57320.46786582899,24.19802939729729,0.20328718403778642
1237679255201251470,18.141676,-4.2390777,16.45735,0.1309866,39268.7947790628,53.33741945027898,0.13692539422825054
1237679324464283776,17.397046,-3.8717943,16.28436,0.1506917,45176.2351431986,62.550098798152675,0.12644044044508293
1237679433452421307,17.670539,-3.5808944,16.51807,0.1529411,45850.588298223796,50.43639066737415,0.14080821725254106
1237679253053768021,18.2917,-5.7306684,18.57329,0.3669679,110014.2087480982,7.597242691064548,0.3628039443515767
1237679323928002671,18.792171,-4.3231172,16.66585,0.158316,47461.942780728,44.01817168794443,0.15072455141633978
1237679324465135711,19.323543,-3.9678074,16.98983,0.1765631,52932.2857410998,32.661791340856325,0.1749766107062125
1237679255201579676,19.011424,-4.1768216,17.07893,0.373401,111942.80360965799,30.0884627664573,0.18230559606810678
1237679433452749058,18.39353,-3.5076109,18.19051,0.3802606,113999.2599545548,10.80856403837213,0.30416973541553
1237679255738122400,18.237731,-3.7903145,18.2305,0.3153657,94544.25837189061,10.417703674036238,0.3098232462088965
1237679322853540061,17.103955,-5.2562429,18.09457,0.3313931,99349.1520132398,11.807120621141083,0.2910234601548071
1237679324464676990,18.272557,-3.9325243,16.38346,0.1661815,49819.960359127,57.093675193188375,0.13234453123137885
1237679323927150724,16.877604,-4.307827,17.39744,0.2043193,61253.3851638394,22.43861256961672,0.21110669176085864
1237679322317062474,18.021266,-5.5749189,18.2472,0.3441268,103166.6192356744,10.258692211431466,0.312215169379161
1237679253054226576,19.288531,-5.8008242,16.6653,0.1929846,57855.3275901468,44.040475565599785,0.15068638007906884
1237679433452880085,18.738183,-3.5724659,17.70796,0.2883292,86438.9195811736,16.857299387459342,0.24356001941411323
1237679253053636909,17.856073,-5.8481236,19.27873,0.3803811,114035.3849457438,3.9671625905209416,0.5020650614393223
1237679255201185878,18.004586,-4.1513661,16.60826,0.1580467,47381.2086717886,46.41603083838996,0.14677970144686567
1237679254664380524,18.226693,-4.6147226,19.53701,0.3122127,93599.0127518166,3.1272888757586332,0.5654783732970315
1237679254127509611,18.144106,-4.8964095,18.12523,0.3251506,97477.6975941748,11.478364187524832,0.2951616979454596
1237679253054095422,18.970186,-5.8112295,16.72205,0.1766699,52964.3035756142,41.79766299166784,0.1546763802061924
1237679255201317034,18.408916,-4.2024477,17.1104,0.2174394,65186.6921920452,29.228868271638145,0.18496689235434435
1237679321780388245,18.524071,-5.9587946,19.02177,0.3685403,110485.60240905739,5.026480476056553,0.44603403584201323
1237679321779995014,17.623336,-5.9976099,18.44197,0.2917548,87465.8886252984,8.574010282330825,0.3415135975238359
1237679255201645046,19.089587,-4.1739703,18.99581,0.3733,111912.5245714,5.148112158253229,0.44073343673875304
1237679255201317214,18.271918,-4.0912926,20.77493,0.3744774,112265.5002114492,1.0,1.0
1237679255201448109,18.643387,-4.1405895,18.70874,0.3944132,118242.1026956456,6.706192258902782,0.38615530006412985
1237679323927872050,18.464752,-4.3026675,18.30729,0.3706201,111109.1107632058,9.706351174939117,0.3209755856931893
